u,i,t,delta_t
30.1,96.7,940.9662743,10.89554882
40,108.6,1072.306593,10.9947289
50.4,119.9,1215.944699,11.10370996
60.4,130.4,1305.045455,11.17158256
70.2,140.1,1394.691684,11.24007939
80.1,149.4,1484.88841,11.30920811
90.3,158.8,1598.416209,22.79303905
100.2,167.4,1689.870246,22.93419744
110.4,176,1758.832749,23.04092856
120.2,184.6,1828.116564,23.14840648
130.2,192.5,1874.485392,23.22047675
140.1,200.1,1967.657154,23.36563071
150.2,207.7,2061.412258,23.51214999
160.5,215.1,2108.510277,23.58592699
